                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                0.87869,                  1.008,                  1.259,                0.62823,                0.84705,                0.77723,                0.53238,                 1.1368,                 1.6192,                 1.7102,              0.0009704,              0.0009704,              0.0009704
                     29,                0.84793,                0.99651,                 1.3239,                0.61101,                0.98294,                0.78907,                0.48126,                 1.0596,                 1.6158,                 1.6519,              0.0009308,              0.0009308,              0.0009308
                     30,                 0.6996,                0.88032,                 1.1512,                0.83877,                   0.75,                0.79525,                0.46918,                 1.1545,                 1.8061,                 1.8136,              0.0008912,              0.0008912,              0.0008912
                     31,                 0.8497,                0.92551,                 1.2625,                0.83923,                   0.75,                 0.8023,                0.47879,                 1.2372,                 1.7822,                 1.8639,              0.0008516,              0.0008516,              0.0008516
                     32,                0.81387,                0.88335,                 1.2322,                0.69554,                0.85828,                0.81433,                0.58358,                 1.1059,                 1.5594,                 1.8381,               0.000812,               0.000812,               0.000812
                     33,                0.81989,                0.87445,                 1.2458,                      1,                 0.8419,                0.94357,                 0.6709,                 1.0325,                 1.2801,                 1.6689,              0.0007724,              0.0007724,              0.0007724
                     34,                0.78397,                0.86292,                  1.261,                      1,                 0.9612,                  0.995,                0.68605,                 1.0013,                 1.3786,                 1.6809,              0.0007328,              0.0007328,              0.0007328
                     35,                0.78322,                0.88388,                 1.2295,                0.95308,                  0.875,                0.98167,                0.67564,                 1.0781,                 1.4888,                 1.7984,              0.0006932,              0.0006932,              0.0006932
                     36,                0.75854,                0.86863,                 1.1827,                0.99995,                  0.875,                0.96227,                0.67325,                0.99127,                 1.3228,                 1.6748,              0.0006536,              0.0006536,              0.0006536
                     37,                0.82588,                0.98474,                 1.2941,                0.98472,                  0.875,                  0.955,                0.63116,                0.85883,                 1.3014,                 1.5184,               0.000614,               0.000614,               0.000614
                     38,                0.79014,                0.86263,                 1.1802,                      1,                0.86261,                  0.935,                0.68472,                0.69342,                 1.3547,                 1.3369,              0.0005744,              0.0005744,              0.0005744
                     39,                 0.7496,                0.91635,                  1.213,                      1,                0.87267,                  0.923,                0.76879,                0.61278,                 1.2997,                 1.2693,              0.0005348,              0.0005348,              0.0005348
                     40,                0.73945,                0.79253,                 1.1885,                0.85953,                  0.875,                0.89708,                0.66998,                0.70291,                 1.2998,                 1.2967,              0.0004952,              0.0004952,              0.0004952
                     41,                 0.6748,                 1.0406,                 1.2732,                0.85264,                  0.875,                0.94602,                0.75017,                0.72406,                 1.1392,                 1.2984,              0.0004556,              0.0004556,              0.0004556
                     42,                0.64787,                 1.0544,                 1.1867,                0.99453,                      1,                  0.995,                0.84641,                0.75084,                0.93385,                  1.306,               0.000416,               0.000416,               0.000416
                     43,                0.63758,                0.92612,                 1.2237,                0.99239,                      1,                  0.995,                0.82629,                0.85878,                0.93793,                  1.376,              0.0003764,              0.0003764,              0.0003764
                     44,                0.65706,                0.94957,                 1.3308,                0.99023,                      1,                  0.995,                0.70829,                 1.0317,                 1.0679,                 1.5585,              0.0003368,              0.0003368,              0.0003368
                     45,                0.59051,                0.91381,                 1.2175,                0.98973,                      1,                  0.995,                0.79081,                0.83113,                 1.0133,                 1.3952,              0.0002972,              0.0002972,              0.0002972
                     46,                  0.599,                0.89506,                 1.2177,                0.99034,                      1,                  0.995,                0.90483,                0.61314,                 0.8912,                 1.1774,              0.0002576,              0.0002576,              0.0002576
                     47,                0.59465,                0.80615,                 1.2263,                0.99113,                      1,                  0.995,                0.88979,                0.57162,                0.88112,                 1.1291,               0.000218,               0.000218,               0.000218
                     48,                0.49847,                0.75642,                 1.1385,                0.99137,                      1,                  0.995,                 0.8946,                0.59832,                0.91473,                 1.1293,              0.0001784,              0.0001784,              0.0001784
                     49,                0.57239,                0.83768,                 1.2375,                0.99141,                      1,                  0.995,                0.86973,                 0.6041,                0.93081,                 1.1378,              0.0001388,              0.0001388,              0.0001388
                     50,                0.50544,                0.72326,                 1.1392,                0.99187,                      1,                  0.995,                0.85633,                0.61608,                0.91218,                 1.1459,               9.92e-05,               9.92e-05,               9.92e-05
